NiTi crystalline-amorphous nanocomposite,,,NiTi crystalline-amorphous nanocomposite,,,110 nm-grain-size polycrystalline NiTi,,,110 nm-grain-size polycrystalline NiTi,
Superelastic,Fig. 2a,,Plastic,Fig. 2b,,Superelastic,Fig. 2a,,Plastic,Fig. 2b
Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa)
1.43E-05,0.67288,,3.22E-06,1.02642,,1.71E-05,1.19392,,7.25E-06,0.50949
2.86E-05,1.34576,,6.43E-06,2.05284,,3.43E-05,2.38784,,9.84E-06,0.69135
4.29E-05,2.01864,,9.65E-06,3.07925,,5.14E-05,3.58177,,1.26E-05,0.88446
5.73E-05,2.69152,,1.29E-05,4.10567,,6.86E-05,4.77569,,1.62E-05,1.14107
7.16E-05,3.3644,,1.61E-05,5.13209,,8.57E-05,5.96961,,2.00E-05,1.40671
8.59E-05,4.03727,,1.93E-05,6.15851,,1.03E-04,7.16353,,2.46E-05,1.73144
1.00E-04,4.71015,,2.25E-05,7.18493,,1.20E-04,8.35746,,2.87E-05,2.01936
1.15E-04,5.38303,,2.57E-05,8.21134,,1.37E-04,9.55138,,3.38E-05,2.37301
1.29E-04,6.05591,,2.90E-05,9.23776,,1.54E-04,10.7453,,3.90E-05,2.74378
1.43E-04,6.72879,,3.22E-05,10.26418,,1.71E-04,11.93922,,4.50E-05,3.16398
1.57E-04,7.40167,,3.54E-05,11.2906,,1.89E-04,13.13314,,5.12E-05,3.59821
1.72E-04,8.07455,,3.86E-05,12.31701,,2.06E-04,14.32707,,5.76E-05,4.04569
1.86E-04,8.74743,,4.18E-05,13.34343,,2.23E-04,15.52099,,6.44E-05,4.52912
2.00E-04,9.42031,,4.50E-05,14.36985,,2.40E-04,16.71491,,7.20E-05,5.05787
2.15E-04,10.09319,,4.83E-05,15.39627,,2.57E-04,17.90883,,7.97E-05,5.59766
2.29E-04,10.76607,,5.15E-05,16.42269,,2.74E-04,19.10275,,8.75E-05,6.14835
2.43E-04,11.43895,,5.47E-05,17.4491,,2.91E-04,20.29668,,9.59E-05,6.73777
2.58E-04,12.11182,,5.79E-05,18.47552,,3.09E-04,21.4906,,1.04E-04,7.33404
2.72E-04,12.7847,,6.35E-05,19.32122,,3.26E-04,22.68452,,1.13E-04,7.95704
2.86E-04,13.45758,,3.59E-05,20.34764,,3.43E-04,23.87844,,1.23E-04,8.6159
3.01E-04,14.13046,,9.77E-05,21.41217,,3.60E-04,25.07237,,1.32E-04,9.27858
3.15E-04,14.80334,,1.79E-04,22.44197,,3.77E-04,26.26629,,1.42E-04,9.96112
3.29E-04,15.47622,,1.47E-04,23.5423,,3.94E-04,27.46021,,1.52E-04,10.66607
3.44E-04,16.1491,,2.87E-04,24.63359,,4.11E-04,28.65413,,1.62E-04,11.38667
3.58E-04,16.82198,,3.57E-04,25.66626,,4.29E-04,29.84805,,1.73E-04,12.16374
3.72E-04,17.49486,,3.63E-04,26.75871,,4.46E-04,31.04198,,1.84E-04,12.93017
3.87E-04,18.16774,,3.34E-04,27.90788,,4.63E-04,32.2359,,1.96E-04,13.75546
4.01E-04,18.84062,,3.43E-04,29.1171,,4.80E-04,33.42982,,2.07E-04,14.56794
4.15E-04,19.5135,,4.02E-04,30.35538,,4.97E-04,34.62374,,2.20E-04,15.4347
4.29E-04,20.18637,,5.46E-04,31.5276,,5.14E-04,35.81767,,2.32E-04,16.33217
4.44E-04,20.85925,,5.51E-04,32.6916,,5.31E-04,37.01159,,2.46E-04,17.27536
4.58E-04,21.53213,,4.44E-04,33.99308,,5.49E-04,38.20551,,2.59E-04,18.21003
4.72E-04,22.20501,,4.19E-04,35.41714,,5.66E-04,39.39943,,2.73E-04,19.15695
4.87E-04,22.87789,,5.65E-04,36.81093,,5.83E-04,40.59335,,2.87E-04,20.14678
5.01E-04,23.55077,,5.97E-04,38.15283,,6.00E-04,41.78728,,3.01E-04,21.17428
5.15E-04,24.22365,,5.65E-04,39.60331,,6.17E-04,42.9812,,3.16E-04,22.18761
5.30E-04,24.89653,,5.66E-04,41.10394,,6.34E-04,44.17512,,3.31E-04,23.2487
5.44E-04,25.56941,,6.25E-04,42.62541,,6.51E-04,45.36904,,3.46E-04,24.3009
5.58E-04,26.24229,,6.64E-04,44.16319,,6.69E-04,46.56296,,3.62E-04,25.40736
5.73E-04,26.91517,,7.55E-04,45.67641,,6.86E-04,47.75689,,3.78E-04,26.53723
5.87E-04,27.58805,,8.40E-04,47.14804,,7.03E-04,48.95081,,3.93E-04,27.65235
6.01E-04,28.26092,,9.04E-04,48.57456,,7.20E-04,50.14473,,4.09E-04,28.76273
6.16E-04,28.9338,,9.44E-04,50.04145,,7.37E-04,51.33865,,4.26E-04,29.93324
6.30E-04,29.60668,,9.78E-04,51.47841,,7.54E-04,52.53258,,4.42E-04,31.04346
6.44E-04,30.27956,,9.51E-04,53.00699,,7.71E-04,53.7265,,4.59E-04,32.22598
6.59E-04,30.95244,,9.66E-04,54.60626,,7.89E-04,54.92042,,4.76E-04,33.44285
6.73E-04,31.62532,,0.00106,56.16955,,8.06E-04,56.11434,,4.93E-04,34.67436
6.87E-04,32.2982,,0.0012,57.65387,,8.23E-04,57.30826,,5.11E-04,35.90352
7.02E-04,32.97108,,0.00128,59.02084,,8.40E-04,58.50219,,5.29E-04,37.15871
7.16E-04,33.64396,,0.00129,60.43256,,8.57E-04,59.69611,,5.47E-04,38.42007
7.30E-04,34.31684,,0.00123,61.91262,,8.74E-04,60.89003,,5.65E-04,39.69459
7.44E-04,34.98972,,0.00124,63.51811,,8.91E-04,62.08395,,5.84E-04,41.02404
7.59E-04,35.66259,,0.00138,65.04152,,9.09E-04,63.27787,,6.03E-04,42.36103
7.73E-04,36.33547,,0.00134,66.56917,,9.26E-04,64.4718,,6.22E-04,43.68474
7.87E-04,37.00835,,0.00131,68.21645,,9.43E-04,65.66572,,6.41E-04,45.04047
8.02E-04,37.68123,,0.00133,69.93989,,9.60E-04,66.85964,,6.60E-04,46.39005
8.16E-04,38.35411,,0.00148,71.5792,,9.77E-04,68.05356,,6.79E-04,47.74371
8.30E-04,39.02699,,0.00163,73.0182,,9.94E-04,69.24749,,6.99E-04,49.11993
8.45E-04,39.69987,,0.00154,74.5339,,0.00101,70.44141,,7.19E-04,50.53367
8.59E-04,40.37275,,0.00148,76.23103,,0.00103,71.63533,,7.39E-04,51.94961
8.73E-04,41.04563,,0.00153,77.96894,,0.00105,72.82925,,7.60E-04,53.41154
8.88E-04,41.71851,,0.00159,79.67849,,0.00106,74.02317,,7.80E-04,54.846
9.02E-04,42.39139,,0.00165,81.37919,,0.00108,75.2171,,8.01E-04,56.3049
9.16E-04,43.06427,,0.00167,83.02645,,0.0011,76.41102,,8.23E-04,57.81566
9.31E-04,43.73714,,0.00164,84.82261,,0.00111,77.60494,,8.45E-04,59.36508
9.45E-04,44.41002,,0.00175,86.5618,,0.00113,78.79886,,8.66E-04,60.87667
9.59E-04,45.0829,,0.0018,88.23045,,0.00115,79.99279,,8.87E-04,62.35573
9.74E-04,45.75578,,0.00185,89.89673,,0.00117,81.18671,,9.09E-04,63.88664
9.88E-04,46.42866,,0.00185,91.58742,,0.00118,82.38063,,9.31E-04,65.44905
0.001,47.10154,,0.00193,93.26739,,0.0012,83.57455,,9.53E-04,67.00691
0.00102,47.77442,,0.00202,94.86741,,0.00122,84.76847,,9.76E-04,68.60222
0.00103,48.4473,,0.00211,96.37186,,0.00123,85.9624,,9.98E-04,70.14956
0.00105,49.12018,,0.00202,97.94638,,0.00125,87.15632,,0.00102,71.75345
0.00106,49.79306,,0.00201,99.71364,,0.00127,88.35024,,0.00104,73.36001
0.00107,50.46594,,0.00217,101.35217,,0.00129,89.54416,,0.00107,74.95998
0.00109,51.13882,,0.00224,102.88199,,0.0013,90.73808,,0.00109,76.5774
0.0011,51.81169,,0.00221,104.40894,,0.00132,91.93201,,0.00111,78.21666
0.00112,52.48457,,0.00218,106.10809,,0.00134,93.12593,,0.00114,79.86816
0.00113,53.15745,,0.00225,107.80614,,0.00135,94.31985,,0.00116,81.50624
0.00115,53.83033,,0.00233,109.42927,,0.00137,95.51377,,0.00118,83.13215
0.00116,54.50321,,0.00237,110.9871,,0.00139,96.7077,,0.00121,84.84926
0.00117,55.17609,,0.00231,112.67669,,0.00141,97.90162,,0.00123,86.50647
0.00119,55.84897,,0.0024,114.39152,,0.00142,99.09554,,0.00126,88.19736
0.0012,56.52185,,0.00249,115.98279,,0.00144,100.28946,,0.00128,89.8728
0.00122,57.19473,,0.0025,117.55046,,0.00146,101.48338,,0.0013,91.50851
0.00123,57.86761,,0.00243,119.26357,,0.00147,102.67731,,0.00133,93.18632
0.00125,58.54049,,0.00252,121.00564,,0.00149,103.87123,,0.00135,94.88724
0.00126,59.21337,,0.00259,122.62693,,0.00151,105.06515,,0.00137,96.55377
0.00127,59.88624,,0.00258,124.29803,,0.00153,106.25907,,0.0014,98.26846
0.00129,60.55912,,0.00254,126.05477,,0.00154,107.453,,0.00142,99.96439
0.0013,61.232,,0.00252,127.97083,,0.00156,108.64692,,0.00145,101.64839
0.00132,61.90488,,0.0027,129.76558,,0.00158,109.84084,,0.00147,103.33281
0.00133,62.57776,,0.00293,131.21355,,0.00159,111.03476,,0.00149,105.02434
0.00135,63.25064,,0.00286,132.58117,,0.00161,112.22868,,0.00152,106.77218
0.00136,63.92352,,0.00277,134.22127,,0.00163,113.42261,,0.00154,108.54494
0.00137,64.5964,,0.00281,135.97335,,0.00165,114.61653,,0.00156,110.40704
0.00139,65.26928,,0.0029,137.61169,,0.00166,115.81045,,0.00165,112.1771
0.0014,65.94216,,0.00302,139.13597,,0.00168,117.00437,,0.00168,113.92985
0.00142,66.61504,,0.00307,140.5041,,0.0017,118.19829,,0.00169,115.73737
0.00143,67.28791,,0.00293,142.10163,,0.00171,119.39222,,0.00172,117.55516
0.00145,67.96079,,0.00296,143.89063,,0.00173,120.58614,,0.00176,119.39385
0.00146,68.63367,,0.00305,145.55412,,0.00175,121.78006,,0.00177,121.26173
0.00147,69.30655,,0.00318,147.1262,,0.00177,122.97398,,0.00181,123.12047
0.00149,69.97943,,0.00331,148.43218,,0.00178,124.16791,,0.00189,124.95313
0.0015,70.65231,,0.00319,149.85375,,0.0018,125.36183,,0.00189,126.76761
0.00152,71.32519,,0.00315,151.52953,,0.00182,126.55575,,0.00194,128.61709
0.00153,71.99807,,0.00314,153.29852,,0.00183,127.74967,,0.00195,130.49035
0.00155,72.67095,,0.0032,155.05804,,0.00185,128.94359,,0.00198,132.39142
0.00156,73.34383,,0.00328,156.74584,,0.00187,130.13752,,0.00203,134.26214
0.00157,74.01671,,0.00334,158.32982,,0.00189,131.33144,,0.00201,136.19327
0.00159,74.66609,,0.00327,160.06828,,0.0019,132.52536,,0.00207,138.14892
0.0016,76.37798,,0.00338,161.79705,,0.00192,133.71928,,0.00207,140.14291
0.00167,78.04217,,0.00342,163.36565,,0.00194,134.9132,,0.00211,142.12712
0.00166,79.7744,,0.00344,165.03939,,0.00195,136.10713,,0.00213,144.15446
0.00173,81.56205,,0.00358,166.55964,,0.00197,137.30105,,0.00218,146.13956
0.00177,83.27786,,0.00362,167.95675,,0.00199,138.49497,,0.0022,148.18163
0.00181,84.99118,,0.00354,169.48343,,0.00201,139.68889,,0.00225,150.20203
0.00183,86.68033,,0.00351,171.22711,,0.00202,140.88282,,0.00231,152.17159
0.00187,88.43245,,0.00354,173.01652,,0.00204,142.07674,,0.0023,154.17111
0.00193,90.19176,,0.00373,174.64555,,0.00206,143.27066,,0.00236,156.16382
0.00198,91.8703,,0.00382,175.99096,,0.00207,144.46458,,0.00237,158.18706
0.00199,93.60881,,0.0038,177.37314,,0.00209,145.6585,,0.00244,160.16133
0.00204,95.36132,,0.0038,178.85718,,0.00211,146.85243,,0.00245,162.14098
0.00207,97.10727,,0.00378,180.45082,,0.00213,148.04635,,0.00251,164.13333
0.00213,98.8356,,0.00384,182.04546,,0.00214,149.24027,,0.0025,166.13353
0.00216,100.56538,,0.00382,183.65902,,0.00216,150.43419,,0.00254,168.20841
0.00219,102.33544,,0.00378,185.43176,,0.00218,151.62812,,0.00258,170.22302
0.0022,104.12158,,0.00395,187.15168,,0.00219,152.82204,,0.0026,172.25498
0.00225,106.01402,,0.00406,188.52097,,0.00221,154.01596,,0.0026,174.35216
0.0023,107.80375,,0.00404,189.93788,,0.00223,155.20988,,0.00266,176.44495
0.00232,109.60445,,0.00399,191.52827,,0.00225,156.4038,,0.00269,178.50062
0.00236,111.48362,,0.00407,193.14736,,0.00226,157.59773,,0.00271,180.62928
